Country;Year;Series;Capital city;Value
Croatia;2015;Capital city population(as a percentage of total population);Zagreb;16.2
Croatia;2015;Capital city population(as a percentage of total urban population);Zagreb;28.9
Croatia;2018;Urban population(percent);;56.9
Croatia;2018;Capital city population(thousands) ;Zagreb;686
Cuba;2005;Urban population(percent);;76.1
Cuba;2005;Urban population(percent growth rate per annum);;0.5
Cuba;2005;Rural population(percent growth rate per annum);;-0.4
Cuba;2005;Capital city population(thousands) ;Havana;2180
Cuba;2005;Capital city population(as a percentage of total population);Havana;19.3
Cuba;2005;Capital city population(as a percentage of total urban population);Havana;25.4
Cuba;2010;Urban population(percent);;76.6
Cuba;2010;Urban population(percent growth rate per annum);;0.2
Cuba;2010;Rural population(percent growth rate per annum);;-0.3
Cuba;2010;Capital city population(thousands) ;Havana;2143
Cuba;2010;Capital city population(as a percentage of total population);Havana;18.9
Cuba;2010;Capital city population(as a percentage of total urban population);Havana;24.7
Cuba;2015;Urban population(percent);;76.9
Cuba;2015;Urban population(percent growth rate per annum);;0.3
Cuba;2015;Rural population(percent growth rate per annum);;0.0
Cuba;2015;Capital city population(thousands) ;Havana;2124
Cuba;2015;Capital city population(as a percentage of total population);Havana;18.5
Cuba;2015;Capital city population(as a percentage of total urban population);Havana;24.1
Cuba;2018;Urban population(percent);;77.0
Cuba;2018;Capital city population(thousands) ;Havana;2136
Curaçao;2005;Urban population(percent);;90.5
Curaçao;2005;Urban population(percent growth rate per annum);;-0.5
Curaçao;2005;Rural population(percent growth rate per annum);;0.1
Curaçao;2010;Urban population(percent);;89.9
Curaçao;2010;Urban population(percent growth rate per annum);;2.5
Curaçao;2010;Rural population(percent growth rate per annum);;3.9
Curaçao;2015;Urban population(percent);;89.4
Curaçao;2015;Urban population(percent growth rate per annum);;1.2
Curaçao;2015;Rural population(percent growth rate per annum);;2.4
Curaçao;2018;Urban population(percent);;89.1
Curaçao;2018;Capital city population(thousands) ;Willemstad;144
Cyprus;2005;Urban population(percent);;68.3
Cyprus;2005;Urban population(percent growth rate per annum);;1.6
Cyprus;2005;Rural population(percent growth rate per annum);;2.0
Cyprus;2010;Urban population(percent);;67.6
Cyprus;2010;Urban population(percent growth rate per annum);;1.4
Cyprus;2010;Rural population(percent growth rate per annum);;2.0
Cyprus;2015;Urban population(percent);;66.9
Cyprus;2015;Urban population(percent growth rate per annum);;0.7
Cyprus;2015;Rural population(percent growth rate per annum);;1.2
Cyprus;2018;Urban population(percent);;66.8
Cyprus;2018;Capital city population(thousands) ;Nicosia;269
Czechia;2005;Urban population(percent);;73.6
Czechia;2005;Urban population(percent growth rate per annum);;-0.2
Czechia;2005;Rural population(percent growth rate per annum);;0.2
Czechia;2005;Capital city population(thousands) ;Prague;1199
Czechia;2005;Capital city population(as a percentage of total population);Prague;11.7
Czechia;2005;Capital city population(as a percentage of total urban population);Prague;15.9
Czechia;2010;Urban population(percent);;73.3
Czechia;2010;Urban population(percent growth rate per annum);;0.4
Czechia;2010;Rural population(percent growth rate per annum);;0.8
Czechia;2010;Capital city population(thousands) ;Prague;1234
Czechia;2010;Capital city population(as a percentage of total population);Prague;11.7
Czechia;2010;Capital city population(as a percentage of total urban population);Prague;16.0
Czechia;2015;Urban population(percent);;73.5
Czechia;2015;Urban population(percent growth rate per annum);;0.2
Czechia;2015;Rural population(percent growth rate per annum);;0.0
Czechia;2015;Capital city population(thousands) ;Prague;1269
Czechia;2015;Capital city population(as a percentage of total population);Prague;12.0
Czechia;2015;Capital city population(as a percentage of total urban population);Prague;16.3
Czechia;2018;Urban population(percent);;73.8
Czechia;2018;Capital city population(thousands) ;Prague;1292
Dem. People's Rep. Korea;2005;Urban population(percent);;59.8
Dem. People's Rep. Korea;2005;Urban population(percent growth rate per annum);;1.0
Dem. People's Rep. Korea;2005;Rural population(percent growth rate per annum);;0.6
Dem. People's Rep. Korea;2005;Capital city population(thousands) ;Pyongyang;2805
Dem. People's Rep. Korea;2005;Capital city population(as a percentage of total population);Pyongyang;11.7
Dem. People's Rep. Korea;2005;Capital city population(as a percentage of total urban population);Pyongyang;19.6
Dem. People's Rep. Korea;2010;Urban population(percent);;60.4
Dem. People's Rep. Korea;2010;Urban population(percent growth rate per annum);;0.8
Dem. People's Rep. Korea;2010;Rural population(percent growth rate per annum);;0.3
Dem. People's Rep. Korea;2010;Capital city population(thousands) ;Pyongyang;2861
Dem. People's Rep. Korea;2010;Capital city population(as a percentage of total population);Pyongyang;11.6
Dem. People's Rep. Korea;2010;Capital city population(as a percentage of total urban population);Pyongyang;19.3
Dem. People's Rep. Korea;2015;Urban population(percent);;61.3
Dem. People's Rep. Korea;2015;Urban population(percent growth rate per annum);;0.8
Dem. People's Rep. Korea;2015;Rural population(percent growth rate per annum);;0.1
Dem. People's Rep. Korea;2015;Capital city population(thousands) ;Pyongyang;2970
Dem. People's Rep. Korea;2015;Capital city population(as a percentage of total population);Pyongyang;11.8
Dem. People's Rep. Korea;2015;Capital city population(as a percentage of total urban population);Pyongyang;19.2
Dem. People's Rep. Korea;2018;Urban population(percent);;61.9
Dem. People's Rep. Korea;2018;Capital city population(thousands) ;Pyongyang;3038
Dem. Rep. of the Congo;2005;Urban population(percent);;37.5
Dem. Rep. of the Congo;2005;Urban population(percent growth rate per annum);;4.3
Dem. Rep. of the Congo;2005;Rural population(percent growth rate per annum);;2.3
Dem. Rep. of the Congo;2005;Capital city population(thousands) ;Kinshasa;7589
Dem. Rep. of the Congo;2005;Capital city population(as a percentage of total population);Kinshasa;13.9
Dem. Rep. of the Congo;2005;Capital city population(as a percentage of total urban population);Kinshasa;37.0
Dem. Rep. of the Congo;2010;Urban population(percent);;40.0
Dem. Rep. of the Congo;2010;Urban population(percent growth rate per annum);;4.6
Dem. Rep. of the Congo;2010;Rural population(percent growth rate per annum);;2.5
Dem. Rep. of the Congo;2010;Capital city population(thousands) ;Kinshasa;9382
Dem. Rep. of the Congo;2010;Capital city population(as a percentage of total population);Kinshasa;14.5
Dem. Rep. of the Congo;2010;Capital city population(as a percentage of total urban population);Kinshasa;36.3
Dem. Rep. of the Congo;2015;Urban population(percent);;42.7
Dem. Rep. of the Congo;2015;Urban population(percent growth rate per annum);;4.6
Dem. Rep. of the Congo;2015;Rural population(percent growth rate per annum);;2.4
Dem. Rep. of the Congo;2015;Capital city population(thousands) ;Kinshasa;11598
Dem. Rep. of the Congo;2015;Capital city population(as a percentage of total population);Kinshasa;15.2
Dem. Rep. of the Congo;2015;Capital city population(as a percentage of total urban population);Kinshasa;35.6
Dem. Rep. of the Congo;2018;Urban population(percent);;44.5
Dem. Rep. of the Congo;2018;Capital city population(thousands) ;Kinshasa;13171
Denmark;2005;Urban population(percent);;85.9
Denmark;2005;Urban population(percent growth rate per annum);;0.5
Denmark;2005;Rural population(percent growth rate per annum);;-0.7
Denmark;2005;Capital city population(thousands) ;Copenhagen;1127
Denmark;2005;Capital city population(as a percentage of total population);Copenhagen;20.8
Denmark;2005;Capital city population(as a percentage of total urban population);Copenhagen;24.2
Denmark;2010;Urban population(percent);;86.8
Denmark;2010;Urban population(percent growth rate per annum);;0.7
Denmark;2010;Rural population(percent growth rate per annum);;-0.9
Denmark;2010;Capital city population(thousands) ;Copenhagen;1192
Denmark;2010;Capital city population(as a percentage of total population);Copenhagen;21.5
Denmark;2010;Capital city population(as a percentage of total urban population);Copenhagen;24.7
Denmark;2015;Urban population(percent);;87.5
Denmark;2015;Urban population(percent growth rate per annum);;0.6
Denmark;2015;Rural population(percent growth rate per annum);;-0.7
Denmark;2015;Capital city population(thousands) ;Copenhagen;1271
Denmark;2015;Capital city population(as a percentage of total population);Copenhagen;22.3
Denmark;2015;Capital city population(as a percentage of total urban population);Copenhagen;25.5
Denmark;2018;Urban population(percent);;87.9
Denmark;2018;Capital city population(thousands) ;Copenhagen;1321
Djibouti;2005;Urban population(percent);;76.8
Djibouti;2005;Urban population(percent growth rate per annum);;1.8
Djibouti;2005;Rural population(percent growth rate per annum);;1.6
Djibouti;2005;Capital city population(thousands) ;Djibouti;442
Djibouti;2005;Capital city population(as a percentage of total population);Djibouti;56.5
Djibouti;2005;Capital city population(as a percentage of total urban population);Djibouti;73.6
Djibouti;2010;Urban population(percent);;77.0
Djibouti;2010;Urban population(percent growth rate per annum);;1.7
Djibouti;2010;Rural population(percent growth rate per annum);;1.5
Djibouti;2010;Capital city population(thousands) ;Djibouti;485
Djibouti;2010;Capital city population(as a percentage of total population);Djibouti;57.0
Djibouti;2010;Capital city population(as a percentage of total urban population);Djibouti;74.0
Djibouti;2015;Urban population(percent);;77.4
Djibouti;2015;Urban population(percent growth rate per annum);;1.8
Djibouti;2015;Rural population(percent growth rate per annum);;1.4
Djibouti;2015;Capital city population(thousands) ;Djibouti;531
Djibouti;2015;Capital city population(as a percentage of total population);Djibouti;57.3
Djibouti;2015;Capital city population(as a percentage of total urban population);Djibouti;74.0
Djibouti;2018;Urban population(percent);;77.8
Djibouti;2018;Capital city population(thousands) ;Djibouti;562
Dominica;2005;Urban population(percent);;66.6
Dominica;2005;Urban population(percent growth rate per annum);;0.7
Dominica;2005;Rural population(percent growth rate per annum);;-0.5
Dominica;2010;Urban population(percent);;68.1
Dominica;2010;Urban population(percent growth rate per annum);;0.7
Dominica;2010;Rural population(percent growth rate per annum);;-0.7
Dominica;2015;Urban population(percent);;69.6
Dominica;2015;Urban population(percent growth rate per annum);;0.9
Dominica;2015;Rural population(percent growth rate per annum);;-0.5
Dominica;2018;Urban population(percent);;70.5
Dominica;2018;Capital city population(thousands) ;Roseau;15
Dominican Republic;2005;Urban population(percent);;67.4
Dominican Republic;2005;Urban population(percent growth rate per annum);;3.3
Dominican Republic;2005;Rural population(percent growth rate per annum);;-1.7
Dominican Republic;2005;Capital city population(thousands) ;Santo Domingo;2297
Dominican Republic;2005;Capital city population(as a percentage of total population);Santo Domingo;24.9
Dominican Republic;2005;Capital city population(as a percentage of total urban population);Santo Domingo;36.9
Dominican Republic;2010;Urban population(percent);;73.8
Dominican Republic;2010;Urban population(percent growth rate per annum);;3.2
Dominican Republic;2010;Rural population(percent growth rate per annum);;-3.0
Dominican Republic;2010;Capital city population(thousands) ;Santo Domingo;2601
Dominican Republic;2010;Capital city population(as a percentage of total population);Santo Domingo;26.3
Dominican Republic;2010;Capital city population(as a percentage of total urban population);Santo Domingo;35.6
Dominican Republic;2015;Urban population(percent);;78.6
Dominican Republic;2015;Urban population(percent growth rate per annum);;2.5
Dominican Republic;2015;Rural population(percent growth rate per annum);;-2.8
Dominican Republic;2015;Capital city population(thousands) ;Santo Domingo;2945
Dominican Republic;2015;Capital city population(as a percentage of total population);Santo Domingo;28.0
Dominican Republic;2015;Capital city population(as a percentage of total urban population);Santo Domingo;35.6
Dominican Republic;2018;Urban population(percent);;81.1
Dominican Republic;2018;Capital city population(thousands) ;Santo Domingo;3172
Ecuador;2005;Urban population(percent);;61.7
Ecuador;2005;Urban population(percent growth rate per annum);;2.1
Ecuador;2005;Rural population(percent growth rate per annum);;1.0
Ecuador;2005;Capital city population(thousands) ;Quito;1479
Ecuador;2005;Capital city population(as a percentage of total population);Quito;10.8
Ecuador;2005;Capital city population(as a percentage of total urban population);Quito;17.5
Ecuador;2010;Urban population(percent);;62.7
Ecuador;2010;Urban population(percent growth rate per annum);;2.0
Ecuador;2010;Rural population(percent growth rate per annum);;1.2
Ecuador;2010;Capital city population(thousands) ;Quito;1598
Ecuador;2010;Capital city population(as a percentage of total population);Quito;10.7
Ecuador;2010;Capital city population(as a percentage of total urban population);Quito;17.1
Ecuador;2015;Urban population(percent);;63.4
Ecuador;2015;Urban population(percent growth rate per annum);;1.8
Ecuador;2015;Rural population(percent growth rate per annum);;1.2
Ecuador;2015;Capital city population(thousands) ;Quito;1734
Ecuador;2015;Capital city population(as a percentage of total population);Quito;10.7
Ecuador;2015;Capital city population(as a percentage of total urban population);Quito;16.9
Ecuador;2018;Urban population(percent);;63.8
Ecuador;2018;Capital city population(thousands) ;Quito;1822
Egypt;2005;Urban population(percent);;43.0
Egypt;2005;Urban population(percent growth rate per annum);;2.0
Egypt;2005;Rural population(percent growth rate per annum);;1.8
Egypt;2005;Capital city population(thousands) ;Cairo;15174
Egypt;2005;Capital city population(as a percentage of total population);Cairo;19.8
Egypt;2005;Capital city population(as a percentage of total urban population);Cairo;45.9
Egypt;2010;Urban population(percent);;43.0
Egypt;2010;Urban population(percent growth rate per annum);;1.8
Egypt;2010;Rural population(percent growth rate per annum);;1.8
Egypt;2010;Capital city population(thousands) ;Cairo;16899
Egypt;2010;Capital city population(as a percentage of total population);Cairo;20.1
Egypt;2010;Capital city population(as a percentage of total urban population);Cairo;46.7
Egypt;2015;Urban population(percent);;42.8
Egypt;2015;Urban population(percent growth rate per annum);;2.1
Egypt;2015;Rural population(percent growth rate per annum);;2.3
Egypt;2015;Capital city population(thousands) ;Cairo;18820
Egypt;2015;Capital city population(as a percentage of total population);Cairo;20.1
Egypt;2015;Capital city population(as a percentage of total urban population);Cairo;46.9
Egypt;2018;Urban population(percent);;42.7
Egypt;2018;Capital city population(thousands) ;Cairo;20076
El Salvador;2005;Urban population(percent);;61.6
El Salvador;2005;Urban population(percent growth rate per annum);;1.5
El Salvador;2005;Rural population(percent growth rate per annum);;-0.8
El Salvador;2005;Capital city population(thousands) ;San Salvador;1074
El Salvador;2005;Capital city population(as a percentage of total population);San Salvador;17.8
El Salvador;2005;Capital city population(as a percentage of total urban population);San Salvador;28.9
El Salvador;2010;Urban population(percent);;65.5
El Salvador;2010;Urban population(percent growth rate per annum);;1.6
El Salvador;2010;Rural population(percent growth rate per annum);;-1.6
El Salvador;2010;Capital city population(thousands) ;San Salvador;1086
El Salvador;2010;Capital city population(as a percentage of total population);San Salvador;17.6
El Salvador;2010;Capital city population(as a percentage of total urban population);San Salvador;26.9
El Salvador;2015;Urban population(percent);;69.7
El Salvador;2015;Urban population(percent growth rate per annum);;1.7
El Salvador;2015;Rural population(percent growth rate per annum);;-2.1
El Salvador;2015;Capital city population(thousands) ;San Salvador;1099
El Salvador;2015;Capital city population(as a percentage of total population);San Salvador;17.4
El Salvador;2015;Capital city population(as a percentage of total urban population);San Salvador;25.0
El Salvador;2018;Urban population(percent);;72.0
El Salvador;2018;Capital city population(thousands) ;San Salvador;1107
Equatorial Guinea;2005;Urban population(percent);;57.7
Equatorial Guinea;2005;Urban population(percent growth rate per annum);;7.4
Equatorial Guinea;2005;Rural population(percent growth rate per annum);;0.5
Equatorial Guinea;2010;Urban population(percent);;65.9
Equatorial Guinea;2010;Urban population(percent growth rate per annum);;7.2
Equatorial Guinea;2010;Rural population(percent growth rate per annum);;0.2
Equatorial Guinea;2015;Urban population(percent);;70.6
Equatorial Guinea;2015;Urban population(percent growth rate per annum);;5.6
Equatorial Guinea;2015;Rural population(percent growth rate per annum);;1.3
Equatorial Guinea;2018;Urban population(percent);;72.1
Equatorial Guinea;2018;Capital city population(thousands) ;Malabo;297
Eritrea;2005;Urban population(percent);;31.1
Eritrea;2005;Urban population(percent growth rate per annum);;6.3
Eritrea;2005;Rural population(percent growth rate per annum);;1.9
Eritrea;2005;Capital city population(thousands) ;Asmara;558
Eritrea;2005;Capital city population(as a percentage of total population);Asmara;14.1
Eritrea;2005;Capital city population(as a percentage of total urban population);Asmara;45.2
Eritrea;2010;Urban population(percent);;35.2
Eritrea;2010;Urban population(percent growth rate per annum);;4.5
Eritrea;2010;Rural population(percent growth rate per annum);;0.8
Eritrea;2010;Capital city population(thousands) ;Asmara;670
Eritrea;2010;Capital city population(as a percentage of total population);Asmara;15.3
Eritrea;2010;Capital city population(as a percentage of total urban population);Asmara;43.4
Eritrea;2015;Urban population(percent);;38.2
Eritrea;2015;Urban population(percent growth rate per annum);;3.6
Eritrea;2015;Rural population(percent growth rate per annum);;1.0
Eritrea;2015;Capital city population(thousands) ;Asmara;803
Eritrea;2015;Capital city population(as a percentage of total population);Asmara;16.6
Eritrea;2015;Capital city population(as a percentage of total urban population);Asmara;43.4
Eritrea;2018;Urban population(percent);;40.1
Eritrea;2018;Capital city population(thousands) ;Asmara;896
Estonia;2005;Urban population(percent);;68.7
Estonia;2005;Urban population(percent growth rate per annum);;-0.8
Estonia;2005;Rural population(percent growth rate per annum);;-0.2
Estonia;2005;Capital city population(thousands) ;Tallinn;397
Estonia;2005;Capital city population(as a percentage of total population);Tallinn;29.3
Estonia;2005;Capital city population(as a percentage of total urban population);Tallinn;42.6
Estonia;2010;Urban population(percent);;68.1
Estonia;2010;Urban population(percent growth rate per annum);;-0.5
Estonia;2010;Rural population(percent growth rate per annum);;0.1
Estonia;2010;Capital city population(thousands) ;Tallinn;394
Estonia;2010;Capital city population(as a percentage of total population);Tallinn;29.6
Estonia;2010;Capital city population(as a percentage of total urban population);Tallinn;43.5
Estonia;2015;Urban population(percent);;68.4
Estonia;2015;Urban population(percent growth rate per annum);;-0.2
Estonia;2015;Rural population(percent growth rate per annum);;-0.5
Estonia;2015;Capital city population(thousands) ;Tallinn;416
Estonia;2015;Capital city population(as a percentage of total population);Tallinn;31.6
Estonia;2015;Capital city population(as a percentage of total urban population);Tallinn;46.3
Estonia;2018;Urban population(percent);;68.9
Estonia;2018;Capital city population(thousands) ;Tallinn;437
Eswatini;2005;Urban population(percent);;22.0
Eswatini;2005;Urban population(percent growth rate per annum);;0.2
Eswatini;2005;Rural population(percent growth rate per annum);;1.0
Eswatini;2010;Urban population(percent);;22.5
Eswatini;2010;Urban population(percent growth rate per annum);;2.1
Eswatini;2010;Rural population(percent growth rate per annum);;1.6
Eswatini;2015;Urban population(percent);;23.3
Eswatini;2015;Urban population(percent growth rate per annum);;2.6
Eswatini;2015;Rural population(percent growth rate per annum);;1.6
Eswatini;2018;Urban population(percent);;23.8
Eswatini;2018;Capital city population(thousands) ;Mbabane;68
Ethiopia;2005;Urban population(percent);;15.7
Ethiopia;2005;Urban population(percent growth rate per annum);;4.1
Ethiopia;2005;Rural population(percent growth rate per annum);;2.6
Ethiopia;2005;Capital city population(thousands) ;Addis Ababa;2634
Ethiopia;2005;Capital city population(as a percentage of total population);Addis Ababa;3.4
Ethiopia;2005;Capital city population(as a percentage of total urban population);Addis Ababa;21.9
Ethiopia;2010;Urban population(percent);;17.3
Ethiopia;2010;Urban population(percent growth rate per annum);;4.6
Ethiopia;2010;Rural population(percent growth rate per annum);;2.3
Ethiopia;2010;Capital city population(thousands) ;Addis Ababa;3126
Ethiopia;2010;Capital city population(as a percentage of total population);Addis Ababa;3.6
Ethiopia;2010;Capital city population(as a percentage of total urban population);Addis Ababa;20.6
Ethiopia;2015;Urban population(percent);;19.4
Ethiopia;2015;Urban population(percent growth rate per annum);;4.9
Ethiopia;2015;Rural population(percent growth rate per annum);;2.1
Ethiopia;2015;Capital city population(thousands) ;Addis Ababa;3871
Ethiopia;2015;Capital city population(as a percentage of total population);Addis Ababa;3.9
Ethiopia;2015;Capital city population(as a percentage of total urban population);Addis Ababa;19.9
Ethiopia;2018;Urban population(percent);;20.8
Ethiopia;2018;Capital city population(thousands) ;Addis Ababa;4400
Falkland Islands (Malvinas);2005;Urban population(percent);;70.8
Falkland Islands (Malvinas);2005;Urban population(percent growth rate per annum);;1.3
Falkland Islands (Malvinas);2005;Rural population(percent growth rate per annum);;-1.7
Falkland Islands (Malvinas);2010;Urban population(percent);;73.7
Falkland Islands (Malvinas);2010;Urban population(percent growth rate per annum);;0.2
Falkland Islands (Malvinas);2010;Rural population(percent growth rate per annum);;-2.6
Falkland Islands (Malvinas);2015;Urban population(percent);;76.3
Falkland Islands (Malvinas);2015;Urban population(percent growth rate per annum);;1.0
Falkland Islands (Malvinas);2015;Rural population(percent growth rate per annum);;-1.8
Falkland Islands (Malvinas);2018;Urban population(percent);;77.7
Falkland Islands (Malvinas);2018;Capital city population(thousands) ;Stanley;2
Faroe Islands;2005;Urban population(percent);;39.8
Faroe Islands;2005;Urban population(percent growth rate per annum);;2.2
Faroe Islands;2005;Rural population(percent growth rate per annum);;-0.7
Faroe Islands;2010;Urban population(percent);;40.9
Faroe Islands;2010;Urban population(percent growth rate per annum);;0.7
Faroe Islands;2010;Rural population(percent growth rate per annum);;-0.3
Faroe Islands;2015;Urban population(percent);;41.6
Faroe Islands;2015;Urban population(percent growth rate per annum);;0.5
Faroe Islands;2015;Rural population(percent growth rate per annum);;-0.1
Faroe Islands;2018;Urban population(percent);;42.1
Faroe Islands;2018;Capital city population(thousands) ;Tórshavn;21
Fiji;2005;Urban population(percent);;49.9
Fiji;2005;Urban population(percent growth rate per annum);;1.1
Fiji;2005;Rural population(percent growth rate per annum);;-0.5
Fiji;2010;Urban population(percent);;52.2
Fiji;2010;Urban population(percent growth rate per annum);;1.8
Fiji;2010;Rural population(percent growth rate per annum);;0.0
Fiji;2015;Urban population(percent);;54.7
Fiji;2015;Urban population(percent growth rate per annum);;1.7
Fiji;2015;Rural population(percent growth rate per annum);;-0.4
Fiji;2018;Urban population(percent);;56.2
Fiji;2018;Capital city population(thousands) ;Suva;178
Finland;2005;Urban population(percent);;82.9
Finland;2005;Urban population(percent growth rate per annum);;0.4
Finland;2005;Rural population(percent growth rate per annum);;-0.6
Finland;2005;Capital city population(thousands) ;Helsinki;1067
Finland;2005;Capital city population(as a percentage of total population);Helsinki;20.3
Finland;2005;Capital city population(as a percentage of total urban population);Helsinki;24.5
Finland;2010;Urban population(percent);;83.8
Finland;2010;Urban population(percent growth rate per annum);;0.6
Finland;2010;Rural population(percent growth rate per annum);;-0.6
Finland;2010;Capital city population(thousands) ;Helsinki;1126
Finland;2010;Capital city population(as a percentage of total population);Helsinki;21.0
Finland;2010;Capital city population(as a percentage of total urban population);Helsinki;25.1
Finland;2015;Urban population(percent);;85.2
Finland;2015;Urban population(percent growth rate per annum);;0.8
Finland;2015;Rural population(percent growth rate per annum);;-1.5
Finland;2015;Capital city population(thousands) ;Helsinki;1222
Finland;2015;Capital city population(as a percentage of total population);Helsinki;22.3
Finland;2015;Capital city population(as a percentage of total urban population);Helsinki;26.2
Finland;2018;Urban population(percent);;85.4
Finland;2018;Capital city population(thousands) ;Helsinki;1279
France;2005;Urban population(percent);;77.1
France;2005;Urban population(percent growth rate per annum);;0.9
France;2005;Rural population(percent growth rate per annum);;-0.5
France;2005;Capital city population(thousands) ;Paris;10092
France;2005;Capital city population(as a percentage of total population);Paris;16.5
France;2005;Capital city population(as a percentage of total urban population);Paris;21.4
France;2010;Urban population(percent);;78.4
France;2010;Urban population(percent growth rate per annum);;0.9
France;2010;Rural population(percent growth rate per annum);;-0.5
France;2010;Capital city population(thousands) ;Paris;10460
France;2010;Capital city population(as a percentage of total population);Paris;16.6
France;2010;Capital city population(as a percentage of total urban population);Paris;21.2
France;2015;Urban population(percent);;79.7
France;2015;Urban population(percent growth rate per annum);;0.8
France;2015;Rural population(percent growth rate per annum);;-0.8
France;2015;Capital city population(thousands) ;Paris;10734
France;2015;Capital city population(as a percentage of total population);Paris;16.7
France;2015;Capital city population(as a percentage of total urban population);Paris;20.9
France;2018;Urban population(percent);;80.4
France;2018;Capital city population(thousands) ;Paris;10901
French Guiana;2005;Urban population(percent);;81.1
French Guiana;2005;Urban population(percent growth rate per annum);;5.0
French Guiana;2005;Rural population(percent growth rate per annum);;2.4
French Guiana;2010;Urban population(percent);;82.9
French Guiana;2010;Urban population(percent growth rate per annum);;3.2
French Guiana;2010;Rural population(percent growth rate per annum);;0.8
French Guiana;2015;Urban population(percent);;84.5
French Guiana;2015;Urban population(percent growth rate per annum);;3.1
French Guiana;2015;Rural population(percent growth rate per annum);;0.8
French Guiana;2018;Urban population(percent);;85.3
French Guiana;2018;Capital city population(thousands) ;Cayenne;58
French Polynesia;2005;Urban population(percent);;57.4
French Polynesia;2005;Urban population(percent growth rate per annum);;1.9
French Polynesia;2005;Rural population(percent growth rate per annum);;0.8
French Polynesia;2010;Urban population(percent);;60.3
French Polynesia;2010;Urban population(percent growth rate per annum);;2.0
French Polynesia;2010;Rural population(percent growth rate per annum);;-0.4
French Polynesia;2015;Urban population(percent);;61.7
French Polynesia;2015;Urban population(percent growth rate per annum);;1.2
French Polynesia;2015;Rural population(percent growth rate per annum);;0.0
French Polynesia;2018;Urban population(percent);;61.8
French Polynesia;2018;Capital city population(thousands) ;Papeete;136
Gabon;2005;Urban population(percent);;82.5
Gabon;2005;Urban population(percent growth rate per annum);;3.5
Gabon;2005;Rural population(percent growth rate per annum);;-1.1
Gabon;2005;Capital city population(thousands) ;Libreville;563
Gabon;2005;Capital city population(as a percentage of total population);Libreville;40.1
Gabon;2005;Capital city population(as a percentage of total urban population);Libreville;48.7
Gabon;2010;Urban population(percent);;85.5
Gabon;2010;Urban population(percent growth rate per annum);;3.9
Gabon;2010;Rural population(percent growth rate per annum);;-0.7
Gabon;2010;Capital city population(thousands) ;Libreville;649
Gabon;2010;Capital city population(as a percentage of total population);Libreville;39.5
Gabon;2010;Capital city population(as a percentage of total urban population);Libreville;46.2
Gabon;2015;Urban population(percent);;88.1
Gabon;2015;Urban population(percent growth rate per annum);;3.9
Gabon;2015;Rural population(percent growth rate per annum);;-0.7
Gabon;2015;Capital city population(thousands) ;Libreville;747
Gabon;2015;Capital city population(as a percentage of total population);Libreville;38.7
Gabon;2015;Capital city population(as a percentage of total urban population);Libreville;43.9
Gabon;2018;Urban population(percent);;89.4
Gabon;2018;Capital city population(thousands) ;Libreville;813
Gambia;2005;Urban population(percent);;52.0
Gambia;2005;Urban population(percent growth rate per annum);;4.8
Gambia;2005;Rural population(percent growth rate per annum);;1.5
Gambia;2005;Capital city population(thousands) ;Banjul;368
Gambia;2005;Capital city population(as a percentage of total population);Banjul;25.5
Gambia;2005;Capital city population(as a percentage of total urban population);Banjul;49.0
Gambia;2010;Urban population(percent);;55.7
Gambia;2010;Urban population(percent growth rate per annum);;4.5
Gambia;2010;Rural population(percent growth rate per annum);;1.6
Gambia;2010;Capital city population(thousands) ;Banjul;393
Gambia;2010;Capital city population(as a percentage of total population);Banjul;23.3
Gambia;2010;Capital city population(as a percentage of total urban population);Banjul;41.8
Gambia;2015;Urban population(percent);;59.2
Gambia;2015;Urban population(percent growth rate per annum);;4.4
Gambia;2015;Rural population(percent growth rate per annum);;1.4
Gambia;2015;Capital city population(thousands) ;Banjul;420
Gambia;2015;Capital city population(as a percentage of total population);Banjul;21.3
Gambia;2015;Capital city population(as a percentage of total urban population);Banjul;35.9
Gambia;2018;Urban population(percent);;61.3
Gambia;2018;Capital city population(thousands) ;Banjul;437
Georgia;2005;Urban population(percent);;53.6
Georgia;2005;Urban population(percent growth rate per annum);;-0.7
Georgia;2005;Rural population(percent growth rate per annum);;-1.4
Georgia;2005;Capital city population(thousands) ;Tbilisi;1081
Georgia;2005;Capital city population(as a percentage of total population);Tbilisi;24.1
Georgia;2005;Capital city population(as a percentage of total urban population);Tbilisi;44.9
Georgia;2010;Urban population(percent);;55.5
Georgia;2010;Urban population(percent growth rate per annum);;-0.5
Georgia;2010;Rural population(percent growth rate per annum);;-2.0
Georgia;2010;Capital city population(thousands) ;Tbilisi;1079
Georgia;2010;Capital city population(as a percentage of total population);Tbilisi;25.5
Georgia;2010;Capital city population(as a percentage of total urban population);Tbilisi;45.9
Georgia;2015;Urban population(percent);;57.4
Georgia;2015;Urban population(percent growth rate per annum);;-0.7
Georgia;2015;Rural population(percent growth rate per annum);;-2.2
Georgia;2015;Capital city population(thousands) ;Tbilisi;1078
Georgia;2015;Capital city population(as a percentage of total population);Tbilisi;27.3
Georgia;2015;Capital city population(as a percentage of total urban population);Tbilisi;47.5
Georgia;2018;Urban population(percent);;58.6
Georgia;2018;Capital city population(thousands) ;Tbilisi;1077
Germany;2005;Urban population(percent);;76.0
Germany;2005;Urban population(percent growth rate per annum);;0.3
Germany;2005;Rural population(percent growth rate per annum);;-0.8
